law_name,content
"THE ANAND MARRIAGE ACT, 1909","THE ANAND MARRIAGE ACT, 1909
CONTENTS
1. Short title and extent
2. Validity of Anand marriage
3. Exemption of certain marriage from Act
4. Saving of marriages solemnized according to other ceremonies
5. Non-validation of marriages within prohibited degrees
Page 1 of 2
THE ANAND MARRIAGE ACT, 1909
1ACT No. VII OF 1909
[22nd October, 1909]
An Act to remove doubts as to the validity of the marriage ceremony common among the Sikhs called
Anand.
WHEREAS it is expedient to remove any doubts as to the validity of the marriage ceremony
common among the Sikhs called Anand; It is hereby enacted as follows:-
1. Short title and extent.___(1) This Act may be called the Anand Marriage Act, 1909 ; and
2[(2) It extends to the whole of Pakistan.]
2. Validity of Anand marriage. All marriages which may be or may have been duly
solemnized according to the Sikh marriage ceremony called Anand shall be, and shall be deemed to
have been with effect from the date of the solemnization of each respectively, good and valid in law.
3. Exemption of certain marriage from Act. Nothing in this Act shall apply to–
(a) any marriage between persons not professing the Sikh religion, or
(b) any marriage which has been judicially declared to be null and void.
4. Saving of marriages solemnized according to other ceremonies. Nothing in this Act shall
affect the validity of any marriage duly solemnized according to any other marriage ceremony
customary among the Sikhs.
5. Non-validation of marriages within prohibited degrees. Nothing in this Act shall be
deemed to validate any marriage between persons who are related to each other in any degree of
consanguinity or affinity which would, according to the customary law of the Sikhs, render a marriage
between them illegal.
__________
Date: 11-09-2024
1For Statement of Objects and Reasons, see Gazette of India, 1908, Pt. V, p. 357; for Report of Select Committee, see ibid., 1909, Pt. V,p. 1034; and for
Proceedings in Council, see ibid., 1908, Pt. VI, p. 156, and ibid., 1909 Pt. VI, pp. 156, 161 and 165.
2Subs. by the Central Laws (Statute Reform) Ordinance, 1960 (21 of 1960), s. 3 and 2nd Sch. (with effect from the 14th October, 1955), for the original
sub-section (2) as amended by A.O., 1949.
Page 2 of 2"
"THE ARYA MARRIAGE VALIDATION ACT, 1937","THE ARYA MARRIAGE VALIDATION ACT, 1937
CONTENTS
1. Short title and extent
2. Marriage between Arya Samajists not to be invalid
Page 1 of 2
THE ARYA MARRIAGE VALIDATION ACT, 1937
ACT No. XIX OF 1937
[14th April, 1937]
An Act to recognise and remove doubts as to the validity of intermarriages current among Arya
Samajists.
WHEREAS it is expedient to recognise and place beyond doubt the validity of
inter-marriages of a class of Hindus known as Arya Samajists ;
It is hereby enacted as follows:—
1. Short title and extent.—(1) This Act may be called the Arya Marriage Validation Act,
1937.
1[(2) It extends to the whole of Pakistan and applies also to all citizens of Pakistan wherever
they may be.]
2. Marriage between Arya Samajists not to be invalid. Notwithstanding any provision of
Hindu Law, usage or custom to the contrary no marriage contracted whether before or after the
commencement of this Act between two persons being at the time of the marriage Arya Samajists
shall be invalid or shall be deemed ever to have been invalid by reason only of the fact that the
parties at any time belonged to different castes or different sub-castes of Hindus or that either or both
of the parties at any time before the marriage belonged to a religion other than Hinduism.
___________
Date: 22-07-2024
1Subs. by the Central Laws (Statute Reform) Ordinance, 1960 (21 of 1960), s. 3. and 2nd Sch.
Page 2 of 2"
"THE CHILD MARRIAGE RESTRAINT ACT, 1929","THE CHILD MARRIAGE RESTRAINT ACT, 1929
CONTENTS
1. Short title, extent and commencement
2. Definitions
3. [Omitted]
4. Punishment for male adult above twenty-one years of age marrying a child
5. Punishment for Solemnising a child marriage
6. Punishment for parent or guardian concerned in a child marriage
7. Imprisonment not to be awarded for offences under section 3
8. Jurisdiction under this Act
9.
10. Preliminary inquiries into offences under this Act
11. [Omitted]
12. Power to issue injunction prohibiting marriage in contravention of this Act
Page 1 of 4
THE CHILD MARRIAGE RESTRAINT ACT, 1929
ACT NO. XIX OF 1929
[1st October, 1929]
An Act to restrain the solemnisation of child marriages
WHEREAS it is expedient to restrain the solemnisation of child marriages;
It is hereby enacted as follows:—
1. Short title, extent and commencement.___(1) This Act may be called the Child Marriage
Restraint Act, 1[1929].
2[(2) It extends to the whole of Pakistan and applies to all citizens of Pakistan wherever they
may be.]
(3) It shall come into force on the 1st day of April, 1930.
2. Definitions.— In this Act, unless there is anything repugnant in the subject or context,—
(a) “child” means a person who, if a male, is under eighteen years of age, and if a
female, is under 3[sixteen] years of age;
(b) “child marriage” means a marriage to which either of the contracting parties is
a child;
(c) “contracting party” to a marriage means either of the parties whose marriage is
4[or is about to be] thereby solemnised; 3[*]
(d) “minor” means a person of either sex who is under eighteen years of age 3[,]
5[(e) “Union Council” means the Union Council or Town Committee constituted
under the law relating to local government for the time being in force.]
3. 3[Omitted.]
4. Punishment for male adult above twenty-one years of age marrying a child. Whoever,
being a male above 3[eighteen] years of age, contracts a child marriage shall be punishable with simple
imprisonment which may extend to one month, or with fine which may extend to one thousand rupees,
or with both.
1Subs. by the Repealing and Amending Act No. VIII of 1930, s.2 and 1st Sch.
2Subs. by the Central Laws (Statute Reforms) Ordinance No. XXI of 1960, s.3 and 2nd Sch. (with effect from the 14th October, 1955).
3Sub. and Omitted by the Muslim Family Laws Ordinance No. VIII of 1961, s.12 (with effect from the 15th July, 1961), applicable to all Muslim citizens
of Pakistan wherever they may be.
4Ins. by Act No. XIX of 1938, s.2.
5Subs. by the Federal Laws (Revision and Declaration) Ordinance No. XXVII of 1981, s.3 and Sch.,II.
Page 2 of 4
5. Punishment for solemnising a child marriage. Whoever performs, conducts or directs any
child marriage shall be punishable with simple imprisonment which may extend to one month, or with
fine which may extend to one thousand rupees, or with both, unless he proves that he had reason to
believe that the marriage was not a child marriage.
6. Punishment for parent or guardian concerned in a child marriage.___(1) Where a minor
contracts a child marriage, any person having charge of the minor, whether as parent or guardian or in
any other capacity, lawful or unlawful, who does any act to promote the marriage or permits it to be
solemnised, or negligently fails to prevent it from being solemnised, shall be punishable with simple
imprisonment which may extend to one month, or with fine which may extend to one thousand rupees,
or with both:
Provided that no woman shall be punishable with imprisonment.
(2) For the purposes of this section, it shall be presumed, unless and until the contrary is proved,
that where a minor has contracted a child marriage, the person having charge of such minor has
negligently failed to prevent the marriage from being solemnised.
7. Imprisonment not to be awarded for offences under section 3. Notwithstanding anything
contained in section 25 of the General Clauses Act, 1897 (X of 1897), or section 64 of the Pakistan
Penal Code 1860 (XLV of 1860), a Court sentencing an offender under section 3 shall not be competent
to direct that, in default of payment of the fine imposed, he shall undergo any term of imprisonment.
8. Jurisdiction under this Act. Notwithstanding anything contained in section 190 of the Code
of Criminal Procedure, 1898 (V of 1898), no Court other than that of 1[* * *] a 2[Magistrate of the first
class] shall take cognizance of, or try, any offence under this Act.
2[9. No Court shall take cognizance of any offence under this Act 3[except on a complaint made
by the Union Council, or if there is no Union Council in the area, by such authority as the Provincial
Government may in this behalf prescribed, and such cognizance shall in no case be taken] after the
expiry of one year from the date on which the offence is alleged to have been committed.]
10. Preliminary inquiries into offences under this Act. The Court taking cognizance of an
offence under this Act shall, unless it dismisses the complaint under section 203 of the Code of
Criminal Procedure, 1898 (V of 1898), either itself make an inquiry under section 202 of that Code, or
direct a Magistrate of the first class subordinate to it to make such inquiry.
1Omitted by A.O., 1949.
2Subs. by Act No. XIX of 1938, ss.3-4.
3Ins. by the Muslim Family Laws Ordinance No. VIII of 1961, s.12, (with effect from 15th July, 1961), applicable to all Muslim citizens of Pakistan
wherever they may be.
Page 3 of 4
11. 1[Omitted.]
2[12. Power to issue injunction prohibiting marriage in contravention of this Act.(1)
Notwithstanding anything to the contrary contained in this Act, the Court may, if satisfied from
information laid before it through a complaint or otherwise that a child marriage in contravention of
this Act has been arranged or is about to be solemnised, issue an injunction against any of the persons
mentioned in section 3, 4, 5, and 6 of this Act prohibiting such marriage.
(2) No injunction under sub-section (1) shall be issued against any person unless the Court has
previously given notice to such person, and has afforded him an opportunity to show cause against the
issue of the injunction.
(3) The Court may either on its own motion or on the application of any person aggrieved
rescind or alter any order made under sub-section (1).
(4) Where such an application is received, the Court shall afford the applicant an early
opportunity of appearing before it either in person or by pleader; and if the Court rejects the application
wholly or in part, it shall record in writing its reasons for so doing.
(5) Whoever knowing that an injunction has been issued against him under sub-section (1) of
this section disobeys such injunction shall be punished with imprisonment of either description for a
term which may extend to three months, or with fine which may extend to one thousand rupees, or
with both:
Provided that no woman shall be punishable with imprisonment.]
RGN Date: 06-05-2024
1Omitted by the Muslim Family laws Ordinance No. VIII of 1961, s.12 (with effect from the 15th July, 1961), applicable to all Muslim citizens of Pakistan
wherever they may be.
2Subs. by Act No. XIX of 1938, s.6.
Page 4 of 4"
